CPU,NUMERO_ITERACION,LATENCIA
0,0,120504
0,1,28450
0,2,29264
0,3,26690
0,4,26191
0,5,26006
0,6,24135
0,7,33375
0,8,27598
0,9,25135
0,10,31413
0,11,26116
0,12,26339
0,13,26839
0,14,25950
0,15,27376
0,16,23135
0,17,30246
0,18,30116
0,19,31875
0,20,31357
0,21,26117
0,22,23005
0,23,25191
0,24,30006
0,25,30042
0,26,29395
0,27,40671
0,28,27598
0,29,26931
0,30,29486
0,31,30635
0,32,29209
0,33,30672
0,34,30894
0,35,30394
0,36,30654
0,37,26542
0,38,23301
0,39,30617
0,40,30394
0,41,31005
0,42,30154
0,43,30302
0,44,30079
0,45,23913
0,46,30635
0,47,43839
0,48,28894
0,49,31061
0,50,31505
0,51,41005
0,52,30894
0,53,29987
0,54,30228
0,55,30468
0,56,64708
0,57,31116
0,58,36468
0,59,30005
0,60,35949
0,61,25413
0,62,25172
0,63,40690
0,64,36450
0,65,31246
0,66,36486
0,67,30635
0,68,24172
0,69,29209
0,70,30098
0,71,28450
0,72,27468
0,73,28412
0,74,32987
0,75,28301
0,76,32506
0,77,27820
0,78,22394
0,79,37523
0,80,32283
0,81,29820
0,82,30561
0,83,23042
0,84,22690
0,85,30950
0,86,35597
0,87,30505
0,88,30431
0,89,28709
0,90,35987
0,91,30228
0,92,30654
0,93,30468
0,94,35505
0,95,25487
0,96,30579
0,97,27728
0,98,28653
0,99,30431
0,100,23283
0,101,29079
0,102,30209
0,103,31282
0,104,30153
0,105,30709
0,106,32412
0,107,24727
0,108,31079
0,109,30727
0,110,25635
0,111,25524
0,112,30431
0,113,26431
0,114,30598
0,115,31524
0,116,30172
0,117,30968
0,118,31246
0,119,31042
0,120,28987
0,121,30949
0,122,28857
0,123,27765
0,124,28209
0,125,30561
0,126,30783
0,127,24097
0,128,24376
0,129,31597
0,130,28931
0,131,30894
0,132,29931
0,133,29894
0,134,25431
0,135,30376
0,136,30079
0,137,30931
0,138,30042
0,139,29579
0,140,31209
0,141,41264
0,142,31227
0,143,30431
0,144,30709
0,145,30746
0,146,30671
0,147,23023
